emoji	meaning_ja	meaning_en	category	example
👂	囁き・耳元の音	Whisper, close to the ear	感情・話し方	👂ねえ、こっちに来て。
😏	からかう・甘える	Teasing, coaxing	感情・話し方	😏そんなことも知らないの？
🥺	震え声・自信なさげ	Trembling, timid voice	感情・話し方	🥺本当に、行っちゃうの？
🫶	優しく	Gently, tenderly	感情・話し方	🫶大丈夫、心配しないで。
😭	泣き声・嗚咽・悲しみ	Crying, sobbing, sorrow	感情・話し方	😭どうして置いていったの……。
😱	悲鳴・叫び・絶叫	Scream, shout	感情・話し方	😱いやああっ！
😪	眠そう・気だるげ	Sleepy, languid	感情・話し方	😪もう少し寝かせて……。
😰	慌てる・動揺・緊張	Panicked, flustered, nervous	感情・話し方	😰えっ、ちょ、ちょっと待って！
😆	喜び	Joyful, elated	感情・話し方	😆やったあ、成功した！
💥	勢いよく	Forcefully, with momentum	感情・話し方	💥いっけえええっ！
😠	怒り・不満・拗ねる	Angry, displeased, sulking	感情・話し方	😠もう、知らないから！
😲	驚き・感嘆	Surprise, awe	感情・話し方	😲えっ、本当にできたの？
😖	苦しげ	Painfully, straining	感情・話し方	😖くっ……まだ、動ける。
😟	心配・不安	Worried, anxious	感情・話し方	😟顔色が悪いけど、大丈夫？
🫣	照れ・恥ずかしそう	Shy, bashful	感情・話し方	🫣あの……好き、かも。
🙄	呆れ	Exasperated	感情・話し方	🙄また同じことをしたの？
😊	楽しげ・嬉しそう	Cheerful, glad	感情・話し方	😊今日は楽しかったね。
😎	得意げ・自信ありげ	Smug, confident	感情・話し方	😎まあ、私に任せてよ。
🙏	懇願・お願い	Pleading, begging	感情・話し方	🙏お願い、今回だけ助けて！
🥴	酔っ払った声	Drunken voice	感情・話し方	🥴まだ全然、酔ってないよぉ。
😌	安堵・満足	Relieved, content	感情・話し方	😌よかった……間に合った。
🤔	疑問の声	Questioning, wondering	感情・話し方	🤔これは、どういうことだろう？
💪	力を込めて・力強く	Forceful, emphatic	感情・話し方	💪絶対に、諦めない！
📖	朗読・ナレーション	Narration, reading aloud	感情・話し方	📖その日、町には雪が降っていた。
😮‍💨	吐息・溜息・寝息	Breath, sigh, sleeping breath	非言語音	もう、しょうがないな……😮‍💨
🤭	くすくす笑い・含み笑い	Giggle, suppressed laugh	非言語音	それ、本気で言ってるの？🤭
🥵	喘ぎ・うめき・唸り声	Panting, moan, groan	非言語音	まだ……大丈夫だから……🥵
🌬️	息切れ・荒い息・呼吸音	Shortness of breath, heavy breathing	非言語音	はぁ、はぁ……🌬️やっと着いた。
😮	息をのむ	Gasp	非言語音	そこにいたのは……😮あなたなの？
👅	舐める音・咀嚼音・水音	Licking, chewing, wet sound	非言語音	少し味見してみようかな……👅
💋	リップノイズ	Lip noise	非言語音	それじゃあ、またね。💋
😴	寝言・いびき	Sleep-talking, snoring	非言語音	あと少しだけ……😴
🥤	唾を飲み込む音	Gulp, swallowing	非言語音	まさか、本当に……🥤
🤧	咳・鼻すすり・くしゃみ・咳払い	Cough, sniffle, sneeze, throat-clearing	非言語音	失礼しました……🤧それでは続けます。
😒	舌打ち	Tut, tongue click	非言語音	また逃げられたか……😒
🥱	あくび	Yawn	非言語音	まだ朝なの……🥱
👌	相槌・頷く音	Backchannel, nod	非言語音	👌うん、分かった。
🎵	鼻歌	Humming	非言語音	🎵ふんふふーん……今日はいい天気。
👃	匂いを嗅ぐ音	Sniffing a smell	非言語音	何かいい匂いがする……👃
⏸️	間・沈黙	Pause, silence	間・速度	その答えは……⏸️まだ言えない。
⏩	早口・一気にまくしたてる	Fast-talking, rapid-fire	間・速度	⏩違う違う、私じゃないから！
🐢	ゆっくり話す	Speaking slowly	間・速度	🐢落ち着いて、ゆっくり話して。
📢	エコー・リバーブ	Echo, reverb	音響・聞こえ方	📢聞こえますかー！
📞	電話・スピーカー越し	Over the phone/speaker	音響・聞こえ方	📞もしもし、今どこにいるの？
🤐	口を塞がれた声・こもった声	Muffled, covered mouth	音響・聞こえ方	🤐んーっ、んんっ！
